Date,Temp C
18/9/2012 ,30
19/9/2012 ,31
20/9/2012 ,31
21/9/2012 ,31
22/9/2012 ,31
23/9/2012 ,28
24/9/2012 ,30
25/9/2012 ,30
26/9/2012 ,30
27/9/2012 ,30
28/9/2012 ,30
29/9/2012 ,31
30/9/2012 ,31
1/10/2012,31
2/10/2012,31
3/10/2012,32
4/10/2012,31
5/10/2012,31
6/10/2012,32
7/10/2012,31
8/10/2012,31
9/10/2012,31
10/10/2012,32
11/10/2012,31
12/10/2012,32
13/10/2012 ,32
14/10/2012 ,32
15/10/2012 ,31
16/10/2012 ,30
17/10/2012 ,31
18/10/2012 ,32
19/10/2012 ,30
20/10/2012 ,31
21/10/2012 ,32
22/10/2012 ,32
23/10/2012 ,29
24/10/2012 ,32
25/10/2012 ,31
26/10/2012 ,31
27/10/2012 ,31
28/10/2012 ,31
29/10/2012 ,26
30/10/2012 ,27
31/10/2012 ,27
1/11/2012,27
2/11/2012,29
3/11/2012,30
4/11/2012,31
5/11/2012,30
6/11/2012,31
7/11/2012,31
8/11/2012,30
9/11/2012,29
10/11/2012,30
11/11/2012,30
12/11/2012,32
13/11/2012 ,31
14/11/2012 ,31
15/11/2012 ,30
16/11/2012 ,28
17/11/2012 ,31
18/11/2012 ,31
19/11/2012 ,31
20/11/2012 ,31
21/11/2012 ,31
22/11/2012 ,31
23/11/2012 ,31
24/11/2012 ,30
25/11/2012 ,31
26/11/2012 ,30
27/11/2012 ,30
28/11/2012 ,32
29/11/2012 ,30
30/11/2012 ,30
1/12/2012,30
2/12/2012,30
3/12/2012,30
4/12/2012,30
5/12/2012,31
6/12/2012,31
7/12/2012,30
8/12/2012,30
9/12/2012,30
10/12/2012,30
11/12/2012,30
12/12/2012,30
13/12/2012 ,31
14/12/2012 ,32
15/12/2012 ,30
16/12/2012 ,27
17/12/2012 ,28
18/12/2012 ,31
19/12/2012 ,30
20/12/2012 ,31
21/12/2012 ,31
22/12/2012 ,28
23/12/2012 ,29
24/12/2012 ,30
25/12/2012 ,30
26/12/2012 ,30
27/12/2012 ,31
28/12/2012 ,30
29/12/2012 ,31
30/12/2012 ,31
31/12/2012 ,32
1/1/2013,31
2/1/2013,31
3/1/2013,30
4/1/2013,25
5/1/2013,28
6/1/2013,29
7/1/2013,30
8/1/2013,30
9/1/2013,31
10/1/2013,30
11/1/2013,31
12/1/2013,31
13/1/2013 ,31
14/1/2013 ,30
15/1/2013 ,31
16/1/2013 ,32
17/1/2013 ,31
18/1/2013 ,30
19/1/2013 ,31
20/1/2013 ,31
21/1/2013 ,32
22/1/2013 ,32
23/1/2013 ,31
24/1/2013 ,28
25/1/2013 ,29
26/1/2013 ,31
27/1/2013 ,32
28/1/2013 ,32
29/1/2013 ,32
30/1/2013 ,32
31/1/2013 ,32
1/2/2013,32
2/2/2013,32
3/2/2013,32
4/2/2013,31
5/2/2013,32
6/2/2013,30
7/2/2013,30
8/2/2013,30
9/2/2013,30
10/2/2013,32
11/2/2013,30
12/2/2013,31
13/2/2013 ,33
14/2/2013 ,30
15/2/2013 ,32
16/2/2013 ,31
17/2/2013 ,31
18/2/2013 ,31
19/2/2013 ,29
